title	authors	year	volume	issue	pages	abstract	pubmed	lab	people	tags	url
Tip60-dependent acetylation of p53 modulates the decision between cell cycle arrest and apoptosis	Tang Y;Luo J;Zhang W;Gu W	2006	24		827-839			wei-gu	wei-gu	Article	
and Dalla-Favera, R	Domingue-Sola D;Ying C;Li M;Gu W;Gautier J	2007						wei-gu	wei-gu	Article	
Negative Regulation of the Sirt1 deacetylase by DBC1	Zhao W;Kruse JP;Tang Y;Jung S;Qin J;Gu W	2008	451		587-590			wei-gu	wei-gu	Article	
and Gu W	Kruse JP	2008						wei-gu	wei-gu	Article	
Acetylation is indispensible for p53 activation	Tang Y;Zhao W;Chen Y;Zhao Y;Gu W	2008	133		612-626			wei-gu	wei-gu	Article	
SirT1 gain of function increases energy efficiency and prevents diabetes in mice	Banks AS;Kon N,Knight;Matsumoto M;Gutirrez-Juárez R;Rossetti L;Gu W;Accili D	2008	8		333-41			wei-gu	wei-gu	Article	
How does SIRT1 affect metabolism, senescence and cancer?	Brooks C;Gu W	2009	9		123-128			wei-gu	wei-gu	Article	
Modes of p53 regulation	Kruse JP;Gu W	2009	137		609-622			wei-gu	wei-gu	Article	
Suppression of	Shan J;Zhao W;Gu W	2009						wei-gu	wei-gu	Article	
and Gu W	Chen D;Shan J;Zhu W;Qin J	2010						wei-gu	wei-gu	Article	
Phosphorylation of Tip60 by GSK-3 Determines the Induction of PUMA and Apoptosis by p53	Charvet C;Wissler M;Brauns-Schubert P;Wang SJ;Tang Y;Sigloch FC;Mellert H;Brandenburg M;Lindner SE;Breit B;Green DR;McMahon SB;Borner C;Gu W;Maurer U	2011	42		584-96		21658600	wei-gu	wei-gu	Article	http://www.ncbi.nlm.nih.gov/pubmed/21658600
Proatherogenic Abnormalities of Lipid Metabolism in SirT1 Transgenic Mice Are Mediated through Creb Deacetylation	Qiang L;Lin HV;Kim-Muller J-Y;Welch CL;Gu W;Accili D	2011	14		758-67			wei-gu	wei-gu	Article	
A Critical Role for Noncoding 5S rRNA in Regulating Mdmx Stability	Li M;Gu W	2011	43		1023-32		21925390	wei-gu	wei-gu	Article	http://www.ncbi.nlm.nih.gov/pubmed/21925390
Brown Remodeling of White Adipose Tissue by SirT1-Dependent Deacetylation of PPAR	Qiang L;Lin H;Kim-Muller J;Welch CL;Tabas I;Tall AR;Gu W;Accili D	2012	150		620-632		22863012	wei-gu	wei-gu	Article	
Tumor suppression in the absence of p53-mediated cell cycle arrest, apoptosis, and senescence	Li T;Kon N;Jiang L;Tan M;Ludwig T;Zhao Y;Baer R;Gu W	2012	149		1269-1283		22682249	wei-gu	wei-gu	Article	
Differential effects on ARF stability by normal vs	Chen D;Kon K;Zhong J;Zhang P;Yu L;Gu W	2013						wei-gu	wei-gu	Article	
Ferroptosis as a p53-mediated activity during tumor suppression	Jiang L;Kon N;Li T;Wang S;Su T;Hibshoosh H;Baer R;Gu W	2015	520		57-62			wei-gu	wei-gu	Article	
Activation of SAT1 engages polyamine metabolism with p53-mediated ferroptotic responses	Ou Y;Wang SJ;Li D;Chu B;Gu W	2016					27698118	wei-gu	wei-gu	Article	https://www.ncbi.nlm.nih.gov/pubmed/27698118
Acetylation Is Crucial for p53-Mediated Ferroptosis and Tumor Suppression	Wang SJ;Li D;Ou Y;Jiang L;Chen Y;Zhao Y;Gu W	2016	17	2	366-373		27705786	wei-gu	wei-gu	Article	
Acetylation-regulated interaction between p53 and SET reveals a widespread regulatory mode	Wang D;Kon N;Lasso G;Jiang L;Leng W;Zhu WG;Qin J;Honig B;Gu W	2016	538	7623	118-122		27626385	wei-gu	wei-gu	Article	https://www.ncbi.nlm.nih.gov/pubmed/27626385
HAUSP deubiquitinates and stabilizes N-Myc in neuroblastoma	Tavana O;Li D;Dai C;Lopez G;Banerjee D;Kon N;Chen C;Califano A;Yamashiro DJ;Sun H;Gu W	2016					27618649	wei-gu	wei-gu	Article	https://www.ncbi.nlm.nih.gov/pubmed/27618649
Zhu WG, Zhao Y	Wang Y;Zhang N;Zhang L;Li R;Fu W;Ma K;Li X;Wang L;Wang J;Zhang H;Gu W	2016					27345151	wei-gu	wei-gu	Article	https://www.ncbi.nlm.nih.gov/pubmed/27345151
NRF2 is a major target of ARF in p53-independent tumor suppression	Chen D;Omid Tavana;Bo Chu;Luke Erber;Yue Chen;Richard Baer;Gu W	2017	68	1	224-232			wei-gu	wei-gu	Article	
The deubiquitylase OTUB1 mediates ferroptosis via stabilization of SCL7A11	Liu T;Jaing L;Tavana O;Gu W	2019	79	8	1913-1924			wei-gu	wei-gu	Article	
CD8+ T cells regulate tumour ferroptosis during cancer immunotherapy	Wang W;Green M;Choi JE;Gijón M;Kennedy PD;Johnson JK;Liao P;Lang X;Kryczek I;Sell A;Xia H;Zhou J;Li G;Li J;Li W;Wei S;Vatan L;Zhang H;Szeliga W;Gu W;Liu R;Lawrence TS;Lamb C;Tanno Y;Cieslik M;Stone E;Georgiou G;Chan TA;Chinnaiyan A;Zou W	2019	569	7755	270-274			wei-gu	wei-gu	Article	
ALOX12 is required for p53-mediated tumor suppression through a distinct ferroptosis pathway	Chu B;Ning Kon;Delin Chen;Tongyuan Li;Tong Liu;Le Jiang;Shujuan Song;Omid Tavana;Gu W	2019	21	5	579-591			wei-gu	wei-gu	Article	
p53 modifications: exquisite decorations of the powerful guardian	Liu Y;Tavana O;Gu W	2019						wei-gu	wei-gu	Article	
Chromatin Assembly Factor 1 (CAF-1) facilitates the establishment of facultative heterochromatin during pluripotency exit	Cheng L;Zhang X;Wang Y;Gan H;Xu X;Lv X;Hua X;Que J;Ordog T;Zhang Z	2019						zhiguo-zhang	zhiguo-zhang	Article	
Pak2 kinase promotes cellular senescence and organismal aging	Lee JS;Mo Y;Gan H;Burgess RJ;Baker DJ;van Deursen;Zhang Z	2019						zhiguo-zhang	zhiguo-zhang	Article	
CHAF1B Overexpression: A Brake for the Differentiation of Leukemia Cells	Li Q;Zhang X;Zhang Z	2018	34	5	693-694			zhiguo-zhang	zhiguo-zhang	Article	
The Mcm2-Ctf4-Polα Axis Facilitates Parental Histone H3-H4 Transfer to Lagging Strands	Gan H;Serra-Cardona A;Hua X;Zhou H;Labib K;Yu C;Zhang Z	2018	72	1	140-151			zhiguo-zhang	zhiguo-zhang	Article	
A mechanism for preventing asymmetric histone segregation onto replicating DNA strands	Yu C;Gan H;Serra-Cardona A;Zhang L;Gan S;Sharma S;Johansson E;Chabes A;Zu RM;Zhang Z	2018	361	6409	1386-1389			zhiguo-zhang	zhiguo-zhang	Article	
A novel enhancer regulates MGMT expression and promotes temozolomide resistance in glioblastoma	Chen X;Zhang M;Gan H;Wang H;Lee JH;Fang D;Kitange GJ;He L;Hu Z;Parney IF;Meyer FB;Giannini C;Sarkaria JN;Zhang Z	2018						zhiguo-zhang	zhiguo-zhang	Article	
H3.3K27M mutant proteins reprogram epigenome by sequestering the PRC2 complex to poised enhancers	Fang D;Gan H;Cheng L;Lee JH;Zhou H;Sarkaria JN;Daniels DJ;Zhang Z	2018						zhiguo-zhang	zhiguo-zhang	Article	
Asf1a resolves bivalent chromatin domains for the induction of lineage-specific genes during mouse embryonic stem cell differentiation	Gao Y;Gan H;Lou Z;Zhang Z	2018						zhiguo-zhang	zhiguo-zhang	Article	
Replication-Coupled Nucleosome Assembly in the Passage of Epigenetic Information and Cell Identity	Serra_Cardona A;Zhang Z	2018	43	2	136-148			zhiguo-zhang	zhiguo-zhang	Article	
Live-cell single-molecule dynamics of PcG proteins imposed by the DIPG H3.3K27M mutation	Tatavosian R;Duc HN;Huynh TN;Fang D;Schmitt B;Shi X;Deng Y;Phiel C;Yao T;Zhang Z;Wang H;Ren X	2018						zhiguo-zhang	zhiguo-zhang	Article	
Replication-Coupled Nucleosome Assembly in the Passage of Epigenetic Information and Cell Identity	Serra-Cardona A;Zhang Z	2018	43	2	136-148			zhiguo-zhang	zhiguo-zhang	Article	
RPA interacts with HIRA and regulates H3.3 deposition at gene regulatory elements in mammalian cells	Zhang H;Gan H;Wang Z;Lee JH;Zhou H;Ordog T;Wold MS;Ljungman M;Zhang Z	2017	65	2	272-284			zhiguo-zhang	zhiguo-zhang	Article	
FACT Remodels the Tetranucleosomal Unit of Chromatin Fibers for Gene Transcription	Wei Li;Ping Chen;Juan Yu;Liping Dong;Dan Liang;Jianxun Feng;Jie Yan;Peng-Ye Wang;Qing Li;Zhiguo Zhang;Ming Li;Guohong Li	2016	64		120-133			zhiguo-zhang	zhiguo-zhang	Article	
The histone H3.3K36M mutation reprograms the epigenome of chondroblastomas	Fang D;Gan H;Lee J;Han J;Wang Z;Riester SM;Jin L;Chen J;Zhou H;Wang J;Zhang H;Yang N;Bradley EW;Ho TH;Rubin BP;Bridge JA;Thibodeau SN;Ordog T;Chen Y;van Wijnen;Oliveira AM;Xu R;Westendorf JJ;Zhang Z	2016	352		1344-1348			zhiguo-zhang	zhiguo-zhang	Article	
USP51 deubiquitylates histone H2AK15ub and regulates DNA damage response	Wang Z;Liu J;Zhang H;Cheruiyot A;Lee J;Ordog T;Lou Z;You Z;Zhang Z	2016	30		946-59			zhiguo-zhang	zhiguo-zhang	Article	
Histone-modifying enzymes, histone modifications and histone chaperones in nucleosome assembly: Lessons learned from Rtt109 histone acetyltransferases	Dahlin JL;Chen X;Walters MA;Zhang Z	2015	50		31-53			zhiguo-zhang	zhiguo-zhang	Article	
Pharmacologic inhibition of histone demethylation as a therapy for pediatric brainstem glioma	Hashizume R;Andor N;Ihara Y;Lerner R;Gan H;Chen X;Fang D;Huang X;Tom MW;Ngo V;Solomon D;Mueller S;Paris PL;Zhang Z;Petritsch C;Gupta N;Waldman TA;James CD	2014	20		1394-6			zhiguo-zhang	zhiguo-zhang	Article	
Strand-specific analysis shows protein binding at replication forks and PCNA unloading from lagging strands when forks stall	Yu C;Gan H;Han J;Zhou ZX;Jia S;Chabes A;Farrugia G;Ordog T;Zhang Z	2014	56		551-63			zhiguo-zhang	zhiguo-zhang	Article	
A Cul4 E3 ubiquitin ligase regulates histone hand-off during nucleosome assembly	Han J;Zhang H;Zhang H;Wang Z;Zhou H;Zhang Z	2013	155		817-29			zhiguo-zhang	zhiguo-zhang	Article	
The histone H3.3K27M mutation in pediatric glioma reprograms H3K27 methylation and gene expression	Chan KM;Fang D;Gan H;Hashizume R;Yu C;Schroeder M;Gupta N;Mueller S;James CD;Jenkins R;Sarkaria J;Zhang Z	2013	27		985-90			zhiguo-zhang	zhiguo-zhang	Article	
Histone chaperones in nucleosome assembly and human disease	Burgess RJ;Zhang Z	2013	20		14-22			zhiguo-zhang	zhiguo-zhang	Article	
Structure of the variant histone H3.3-H4 heterodimer in complex with its chaperone DAXX	Liu CP;Xiong C;Wang M;Yu Z;Yang N;Chen P;Zhang Z;Li G;Xu RM	2012	19		1287-92			zhiguo-zhang	zhiguo-zhang	Article	
Structural basis for recognition of H3K56-acetylated histone H3-H4 by the chaperone Rtt106	Su D;Hu Q;Li Q;Thompson JR;Cui G;Fazly A;Davies BA;Botuyan MV;Zhang Z;Mer G	2012	483		104-7			zhiguo-zhang	zhiguo-zhang	Article	
Diverse factors are involved in maintaining X chromosome inactivation	Chan KM;Zhang H;Malureanu L;van Deursen;Zhang Z	2011	108		16699-704			zhiguo-zhang	zhiguo-zhang	Article	
Phosphorylation of H4 Ser 47 promotes HIRA-mediated nucleosome assembly	Kang B;Pu M;Hu G;Wen W;Dong Z;Zhao K;Stillman B;Zhang Z	2011	25		1359-64			zhiguo-zhang	zhiguo-zhang	Article	
Ubiquitylation of FACT by the cullin-E3 ligase Rtt101 connects FACT to DNA replication	Han J;Li Q;McCullough L;Kettelkamp C;Formosa T;Zhang Z	2010	24		1485-90			zhiguo-zhang	zhiguo-zhang	Article	
A role for Gcn5 in replication-coupled nucleosome assembly	Burgess RJ;Zhou H;Han J;Zhang Z	2010	37		469-80			zhiguo-zhang	zhiguo-zhang	Article	
Involvement of a chromatin remodeling complex in damage tolerance during DNA replication	Falbo KB;Alabert C;Katou Y;Wu S;Han J;Wehr T;Xiao J;He X;Zhang Z;Shi Y;Shirahige K;Pasero P;Shen X	2009	16		1167-72			zhiguo-zhang	zhiguo-zhang	Article	
Acetylation of histone H3 lysine 56 regulates replication-coupled nucleosome assembly	Li Q;Zhou H;Wurtele H;Davies B;Horazdovsky B;Verreault A;Zhang Z	2008	134		244-55			zhiguo-zhang	zhiguo-zhang	Article	
A novel role for histone chaperones CAF-1 and Rtt106p in heterochromatin silencing	Huang S;Zhou H;Tarara J;Zhang Z	2007	26		2274-83			zhiguo-zhang	zhiguo-zhang	Article	
Functional dissection of protein complexes involved in yeast chromosome biology using a genetic interaction map	Collins SR;Miller KM;Maas NL;Roguev A;Fillingham J;Chu CS;Schuldiner M;Gebbia M;Recht J;Shales M;Ding H;Xu H;Han J;Ingvarsdottir K;Cheng B;Andrews B;Boone C;Berger SL;Hieter P;Zhang Z;Brown GW;Ingles CJ;Emili A;Allis CD;Toczyski DP;Weissman JS;Greenblatt JF;Krogan NJ	2007	446		806-10			zhiguo-zhang	zhiguo-zhang	Article	
Rtt109 acetylates histone H3 lysine 56 and functions in DNA replication	Han J;Zhou H;Horazdovsky B;Zhang K;Xu RM;Zhang Z	2007	315		653-5			zhiguo-zhang	zhiguo-zhang	Article	
Rtt106p is a histone chaperone involved in heterochromatin-mediated silencing	Huang S;Zhou H;Katzmann D;Hochstrasser M;Atanasova E;Zhang Z	2005						zhiguo-zhang	zhiguo-zhang	Article	
PCNA connects DNA replication to epigenetic inheritance in yeast	Zhang Z;Shibahara K;Stillman B	2000	408		221-5			zhiguo-zhang	zhiguo-zhang	Article	
